Course,Professor,Area,Credits,Semester,Keywords,Short,Long,Media,Credit,Media,Credit,Media,Credit
Playful Performance Props,August Luhrs,TECHNOLOGY,4,Fall,"coding,electronics,fabrication,live performance,visual art,fashion/wearable,film/video,music/sound,interactive,lighting,design,theater","Using TouchDesigner software and Arduino hardware, students create embodied, audiovisual performances that are controlled by custom physical controllers. The final is a performance event open to the public.","In this class, we’ll learn TouchDesigner, a powerful software hub for live audiovisual content, and control it with DIY props and digital interfaces that we’ll build to connect to our art directly from the stage. With a cutting-edge buffet of inputs and outputs at our disposal, what new, evolved, or remixed types of performance can we create? If you’re a musician, you’ll build and play instruments that didn’t exist before. If you’re a dancer, your movements will become the music and visuals, instead of the other way around. If you’re a filmmaker, you’ll shoot a real-life scene with a virtual camera or light a physical set with real-time VFX. If you're a visual artist, you'll warp color, distort images, and push pixels to the brink of destruction. If you’re all of the above, you’ll have fun in this class. To connect to TouchDesigner, we’ll build hardware props using Arduinos, tiny computers that we can hook up sensors, buttons, and LEDs to, and create unique thematic interfaces that augment our performances and interactive installations. Weekly assignments explore AI tools, electronic circuits, fabrication, camera input and livestreams, 3D models and procedural animation, and more. Midway through the semester we'll begin performing live using our connected props for DJ/VJing and projection-mapped interactive spaces, with the class culminating in a final public performance bringing together the best of student work. No previous coding or performance experience necessary. There is a lab fee for the hardware we’ll use to build our devices.",https://drive.google.com/open?id=1OUyush8W2DWC8Td8fCgRQBOKA7Ep3kP0,Raj Sodhi,,,,
Producing Essentials,Rich Perello and Sharon Badal,STUDIES,4,Fall/Spring,"critical thinking,design,film/video,music/sound,theater,visual art","This course focuses on the role of the producer in the entertainment industry (film, episodic, theatre, immersive, games) with emphasis on a pitch proposal both written and verbal.","The role of the creative producer in the entertainment industry is integral to bringing a project to fruition. This introductory course covers both the creative and physical production time-line and provides students with an understanding of the producer's role through a semester-long team-based pitch project, which culminates in written and verbal pitch presentations. Students are encouraged to work on a project that best suits their area of interest: feature film, episodic/streaming, theatre, performance, podcasts, VR/AR or individualized multi-media. The course focuses on the dynamics of producing, including producer skill sets, tasks and responsibilities necessary to effectively and efficiently develop a project.",https://drive.google.com/open?id=1cAKT5dGppa763PEkcdiSCDANkb6oEchY,Maria Quezada Look Book Mood Board,,,,
Professional Lighting & Camera Techniques,Bill Tunnicliffe,IMAGE,2,Fall,"acting,design,film/video,music/sound,visual art,lighting,directing","Students practice professional camera & lighting techniques on the Todman soundstage. Working with Sony FS7 Videocameras, DSLRs, and Cellphones, students apply those professional stage techniques on location, using natural lighting and small light packages. For their final projects, each student films a music video or short film, exploring their own unique visual artistry.","Students will learn how to shoot professional looking shots on prosumer cameras with minimal lighting — by applying the lessons of professional cinematography to prosumer video cameras, DSLR's, and cellphone videography. A wide variety of Camera Exercises are assigned to train the students to shoot movies with natural light and limited prosumer camera gear. 3-4 person crews are selected to work together on all the Camera Exercises, and for the Final Project as well. Students shoot with their own DSLR's, prosumer cameras, and/or cellphones. Pending availability (and CSI access) students can also choose from a selection of DSLR's and prosumer gear provided by the course (SONY A73, SONY A7R2, SONY A6400, Pocket Osmo Gimbal Camera, and Osmo 3 Gimbal for Cellphones). All camera exercises are screened and reviewed in class.  Students analyze and discuss their own work and are assigned reshoots and pick-up shooting assignments to reinforce their in-class learning. Early classes work with professional lighting gear on stage and students then go out into the field to film camera exercises and music videos utilizing available natural light and small practical light kits - while employing the lighting concepts and lessons they learned on stage.",https://drive.google.com/open?id=15U24tvX2toAYtxTDO4gpQX9JZxAJOT8e,In-class group exercise,,,,
Puppets and Performing Objects,Ithai Benjamin,MOVEMENT,4,Fall,,,"While grocery shopping, have you ever wanted to talk to a cucumber? Encounter a red radish or pet a pizza? You can. Puppets are everywhere and highly effective for bringing impossible ideas into reality. Following the idea that puppets are ""any performing object"" and that objects can be useful as stand-ins for human beings, this hands-on puppet building course explores anthropomorphism, character development, narrative and performance. Through weekly assignments and a final project, we will bring life to objects that we create, transform or find. Drawing inspiration from different styles of mainstream and avante-garde art, music, entertainment and puppetry we will develop original concepts of our own. Exercises explore a range of technologies and materials, from simple sock puppets to marionettes and shadow puppets, to hand puppets and body puppets, to abstract and kinetic objects. We'll spend time looking at how to successfully integrate interactive elements from other realms such as music, special effects, physical interfaces, lighting, video and more into our performances. Every week we perform, with the class culminating in a final public performance bringing together the best of student work.",,,,,,
Queer Cinema,TBA,IMAGE,4,UNKNOWN,,,"This production course allows students from all academic backgrounds to challenge their viewpoints, explore a frequently underrepresented area of film, expand their artistic practice, and apply film training through the lens of queer cinema. This course offers instruction for students who are eager to expand their understanding of queer cinema while also creating original works. This class includes analysis and creation of fiction, documentary and hybrid films. We will create and foster a learning environment that foregrounds the voices of LGBTQ+ artists, furthering the NYU and Tisch commitments to build and strengthen a university-wide culture of diversity and inclusion. The collaborative course blends film screenings, discussions and theoretical exploration with hands-on production experience. At the end of the semester, students will gain critical knowledge of significant works from the queer film canon, and hone their skills as filmmakers through the production of short cinematic works.",,,,,,
Reality and Creation,Rebecca Haimowitz,IMAGE,4,Spring,film/video,"“Reality & Creation'' challenges students to explore cinematic representations of reality in both documentary and narrative films - examining the inherent conflicts between creative construction and telling true stories. Over the semester, students will devise hybrid works that use inventive and surprising forms while playing with the notion of the real through a series of classroom/studio projects as well as independent works utilizing non-fiction sources such as unscripted interviews, archival material, found footage and newsreel. These projects are designed to foster experimentation and cultivate creative collaboration.","Reality & Creation is an interdisciplinary, collaborative workshop that requires students to develop and present original works using real-life material. While primarily focused on filmmaking - students may also explore writing and performance to investigate the artful manipulation of reality in order to evoke meaning and emotion. Students will explore the meanings of both documentary and narrative filmmaking - and the inherent conflicts between creative construction and telling true stories. They will analyze cinematic representations of reality and devise hybrid works that use inventive and surprising forms while playing with the notion of the real. Over the course of the semester, students will complete a series of classroom/studio projects as well as independent works from non-fiction sources: such as unscripted interviews, archival material, found footage and newsreel. These projects are designed to foster experimentation across the arts disciplines and to cultivate creative collaboration.",https://drive.google.com/open?id=1innRHYOO_VgQFM7CQoXbP2oRSqM1_Hhr,Credit: Ray Mo,,,,
Site­ Specific to Immersive Dance Theater,Kate Fisher,MOVEMENT,2,Spring,"critical making,film/video,guest artists,live nyc,live performance,critical thinking,movement,theater","This course immerses students in creating interactive performance experiences, blurring lines between performers and audience in unconventional spaces. Emphasizing embodied choreography challenging traditional stages, students engage confidently in physically demanding movement vocabularies with frequent performances. Set in NYC landmarks, students collaborate with guest artists, crafting public performances melding choreography, activism, and social commentary in urban settings.","How does one design a dance of illusion? Create interactive storytelling and experiential worlds? What is the process of building virtual dances for new technologies and online audiences? Site-Specific to Immersive Dance Theater: Choreographing for Unconventional Formats and Spaces (Tisch Collaborative Arts & Open Arts) is a research-to-practice course reconsidering the function, philosophy, and reality of an evolving stage. Not only is New York City a conduit for local to international dance and theater, but it is also a safe space for artists to resist the norm and re-imagine models for making.
Students will delve into physical world-making for both fantasy and non-fiction narratives. Additionally, students will have the opportunity to study the history and strategies for site-specific dance as a model for social change – given hands-on opportunities to experience the roles and responsibilities of choreographer as activist and historian. Through course exercises, students will build their own body of work ranging from dances for intimate home spaces to renowned public and digital sites. Past experience in movement and/or performance training is not required.",https://drive.google.com/open?id=12doxE7eIXYEaDcBtE86-FiYkBdbpf6ld,"Trisha Brown, ""Roof Piece"", 1971",,,,
Studio Art,Stuart Lorimer and Kari Cholnoky,CORE,UNKNOWN,Fall,"art studio,critical making,critical thinking,guest artists,visual art,live nyc","Studio Art: exposing students to a range of art making strategies and art histories, and grappling with increasingly abstract images and ideas as the semester progresses. The course culminated in 2023 with students making individual artist books out of a wide range of materials and was presented to the department at Expo. // In this studio-intensive course students engage in an investigation of subject matter, sources, and strategies for generating work.  Students will experiment with both images and materials and will look to historical and contemporary approaches as touchstones for their practices. This course includes group critiques, one-on-one meetings, visiting artists, lectures, and field trips.","In this studio-intensive course students engage in an investigation of subject matter, sources, and strategies for generating work. Experimentation is encouraged and there are frequent class critiques. This course encourages students to build an index of visual ideas through the development of a habitual and generative drawing practice. Students will experiment with both image and mark making and will look to historical and contemporary approaches as touchstones for their practices. Course will include group critiques, one- on-one meetings, visiting artists, lectures, and field trips.",https://drive.google.com/open?id=1v-V7cO90pmjW5kiYokO7uYFOdbRUdChH,Studio critique with Demetrius Winegarden.,,,,
Tech in Action,Ithai Benjamin,CORE,4,Spring,,,"Our collective intuition and imagination are more powerful than computer programs, yet paired with software, digital media, and online networks, our wildest dreams can become real. By understanding the fundamentals of digital tools, our DIY sensibilities, artistic practices, and social experiments can be transformative, even revolutionary. With algorithms surveilling and dictating our culture, it is crucial to learn and harness digital technologies for independent expression. In this hands-on introductory course, we will learn to utilize tools for creating musical and visual experiments, playful interactions and games, and emerging media discourse. Students will work independently and collaboratively to create and produce music and sound collages, computer graphics and animation, internet art, videos and performances. Collaborators from different fields of study will be encouraged to incorporate their individual interests and expertise.",,,,,,
The Art of Adaptation,Hardy Justice,WRITING,4,Spring,,,"From Shakespeare’s era to the present day, writers and other artists have created new works by using other art-forms as source material. This practice is especially true for film and television, where the source material can come from a novel or play, a video game or comic book, an historical event or even a blog or trashy headline.

We will explore a variety of practices in the art of adaptation--as it relates to movies and TV--and apply them to an adaptation that students will develop over the course of the semester, resulting in a treatment for a film or television show. Through case studies, exercises and in-class discussion, we will refine and develop students’ work to its greatest potential. We will compare early drafts of award-winning screenplays with their original source material and the final shooting scripts, hopefully gaining insight into the iterative process of adaptation and the challenges and creative insights that the filmmakers discovered along the way. We'll also explore practical issues like options, rights, collaborations, intellectual property laws and licenses, etc.",,,,,,
The Collaborative Arts Theatre Experience,Steven Drukman,ACTING,4,Spring,,,"We will use the semester to concoct, then create, then perform a finished theater production. The semester will use the first 7 weeks to write the play—assigning scenes to be created by solo student playwrights, but also devising material collaboratively in pairs and larger groups. We may also choose to combine our original work with already-existing texts, adapt/deconstruct a classic play, incorporate interview material, etc. The second 7 weeks will be comprised of the rehearsal, tech and the final performance. Students eager to wear many different hats (designer, playwright, technician, composer) are encouraged to enroll—though everyone will be cast as performers. The culmination of our efforts will be a play to be staged and performed before an audience.",,,,,,
The Great Auk,John Wills Martin,IMAGE,UNKNOWN,Fall,,,"This eco-art course brings together students interested in filmed performance, applied theater, and environmental justice to create a series of micro-short, filmed art performances. Following the five stages of grief of Elisabeth Kubler-Ross (denial, anger, bargaining, depression, acceptance), yet leading to action, not merely acceptance, students will explore various forms of performance – staged, film, digital creation, music, installation and/or performance art – as a means of examination, memorialization, and advocacy for extinct and threatened species. Week to week, along with topic-specific research and readings, students will devise, dramatize, and articulate each of these five steps from a series of assigned prompts. Starting with the International Union for the Conservation of Nature (IUCN) Red List, students will choose a species on the edge of extinction and monitor them for the semester, researching their life, habitat, cultural and social relations, and what to do to protect these species and slow or halt this decline. A “die-in” collective performance will happen mid semester. Each student will design and create a memento mori for their chosen species. The efforts here may be revived for November 30, Remembrance Day for Lost Species. The class will culminate with a collective, mixed media, performance installation on extinction in the style of the Wooster Group.",,,,,,
The Softness of Things,Despina Papadopoulos,STUDIES,4,Fall,"art studio,critical making,critical thinking,design,research","The class through a series of lectures and survey of a wide range of artistic practices aims to expose students to different approaches to making, and importantly help them understand how theory and practice are not separate realms but indeed intertwined. The weekly assignments allows student become comfortable with a variety of techniques and making practices, and in a rapid, playful and experimental manner engage with ideas in an embodied and enacted way.","Through a series of lectures and weekly prompts, this hands-on course introduces a methodology that facilitates the process from thinking to making. Softness is used as both a theoretical and material framework that asks students to rethink the edges of the real and to to engage with structures, organizations, materials  and relationships as malleable, fluid, and open to transformation.  Students are introduced to foundational concepts through a wide range of examples and readings, and are invited to critically reflect on how these concepts inform and guide their own practice and creative journey.  The weekly assignments are meant to help students become comfortable with a variety of techniques and making practices, and in a rapid, playful and experimental manner engage with ideas in an embodied and enacted way.  Given that they have a week to complete each assignment, the goal is to help students delve into the core and essential properties of each concept and find ways to express and explore them in their work. The cadence of the lectures and survey of a wide range of artistic practices aims to expose students to different approaches to making, and importantly help them understand how theory and practice are not separate realms but indeed intertwined.",https://drive.google.com/open?id=1rlq-rtWNih7ussi1zxOpv3KisDtYN49O,Lynette Kim,,,,
Unruly Images,Rosalie Yu,TECHNOLOGY,4,Fall/Spring,,,"This course explores unruly images, bodies, faces, spaces, aesthetics, and even feelings that exist at the margins of categorization, making these powerful subjects for artistic work. We will manipulate image-making tools and give form to expressions that reveal the hidden structures of power. Through lectures, discussions, workshops, and readings, we will look at topics such as memes and glitch art, cyberface and AR filters, monsters and glitched bodies, uncanny valley and AI images, as well as liminal space and collaborative world-building. We will pay particular attention to selected writings from Hito Steyerl, Legacy Russell, Rosa Menkman, and Adam Greenfield, and apply these critiques to emerging perceptual technologies (volumetric 3D capturing, machine learning, AR/VR, web-based 3D game engines) that students will use to create their projects.",,,,,,
Virtual Performance and Unreal Interactions,August Luhrs,TECHNOLOGY,4,Fall,"coding,electronics,film/video,live performance,design,movement,visual art,interactive,lighting,music/sound,theater","Using the Unreal game engine, students create dynamic, innovative performances that transcend physical/virtual boundaries. Starting with basic game design and 3D animation, then going into motion capture and 3D scanning, projects take the real world and make it digital and vice versa. The final is a performance event open to the public.","What types of performance can we create if we’re not limited to a physical stage or even a physical body? How much more can we communicate with video once our audience has the power to directly interact with the content, not just passively observe? We can create dynamic, digital experiences and innovative, virtual performances using Unreal Engine, a game engine and powerful suite of development tools. Students will learn the fundamentals of Unreal Engine, including 3D environments and assets, lighting, cameras, animations, audio, basic VFX, and programming interactivity using visual scripting blueprints. Then, we will incorporate external hardware such as depth cameras, LiDAR scanners, and motion capture suits to create our own digital assets, including virtual avatars of ourselves. Students will use this foundation in virtual production to create projects ranging from 3D music videos to choose-your-own-adventure memoirs to. Performances with puppet avatars in an online 3D environment. The final assignment will be a part of a public show.",https://drive.google.com/open?id=1nShTlKUIzk4qE2xAGA9TLHf8u8eVIow6,"Beau Glazier, Montie Hiser, Lauren Sloan",,,,
Words and Ideas,Steven Drukman,CORE,UNKNOWN,UNKNOWN,"critical making,critical thinking","This lecture class provides a broad introduction to the terms and theories that will inform students in their pursuit of multidisciplinary artmaking. We will cover some of Art’s various histories, get a glimpse into aesthetic philosophy’s expansive literature, discuss strategies of the creative process, and open up different modes of criticism—all with the aim of making us better-informed practitioners. Words","This is a 7-week lecture class, introducing new multi-disciplinary practitioners to the central ideas of their chosen careers. Topics will include: Mimesis, Representation, Genre, The Art Object, Subjectivity, Taste, Humor, Sensibility...to name a few. Where does the impulse for art come from? Can art change society or does it reflect society? Why do we do art and how do we know whether it's any good? Key definitions of terms career artists must know will be introduced in WORDS AND IDEAS, helping students form (and fully understand) their own creative strategies in undertaking future art projects. While the class is not, strictly speaking, an art history seminar, major historical movements will be touched on to illustrate the ideas under discussion every week.",,,,,,
Writing The TV Sitcom,Don Demaio,WRITING,4,Fall,,,"Adapted from the Dramatic Writing Program’s popular “Introduction to the Sitcom” course, this intensive scriptwriting class answers the question, “What do I need to break into TV writing?” – the student will be guided through the step-by-step development of an episode for an ongoing TV sitcom, from premise line to one-page outline, to pages and revisions. The course will require the completion of a polished draft while introducing students to the rigors of professional standards through weekly story goals.",,,,,,
Writing Your Life,Joel Derfner,WRITING,4,Spring,,,"If autobiography is a retelling of the events of your life from beginning to end, then memoir—from the French for “to remember”—is an examination of some events of your life through a particular frame. We tell stories drawn from our lives all the time, but we sometimes fail to consider the themes and ideas that connect those stories with themselves and with each other; that failure robs us in turn of the opportunity to understand better both the world and ourselves. Each week of this course you’ll both read and write thoughtful memoir; by the end of the semester, you’ll be able to write reflectively about your own past, examining not just the stories you tell about your life but also those stories’ deeper meanings, their part in shaping your identity, and their echoes in your present and your future.",,,,,,
Zine Scenes,Gabe Fowler,VISUAL ART,4,Spring,"art studio,critical making,design,visual art,writing","Students learn a history of countercultural zine production by artists and make their own publications in response to these contexts, culminating in a self-produced personal zine project.","Before the internet artists and enthusiasts found their communities through self-publishing niche small-circulation magazines, usually without profit, with a burning desire to communicate. We’ll discuss the continued relevancy of the culture as we look at zines scenes from the past. For each scene, we’ll have an “object lesson” in which we dissect historical zines with an eye on form, content, aesthetic, publisher motives, and technology required for production. Then we’ll make our own! We’ll learn about historical zine making methods by making our own small-run zines in the same fashion to circulate within class. In addition to this tactile learning, you’ll produce a small body of work and gain an instant collection from your peers.",https://drive.google.com/open?id=1B8rS3L7JBSZpncAy69o87Hq2W9C7tBnD,"Willem de Ridder - European Mail-Order Warehouse/Fluxshop, 1965",,,,
